Time,Roller Count,Barcode,AC_X,AC_Y,AC_Z,GY_X,GY_Y,GY_Z,Pressure,Thermal,Trash
50:12.2,0,,0.045898438,-0.006835938,1.00390625,-1.892089844,0.183105469,-1.098632813,101421,,
50:12.3,0,,0.041015625,-0.010742188,0.998046875,-1.586914063,1.098632813,-1.281738281,101421,,
50:12.4,0,,0.045898438,-0.017578125,0.9921875,-0.122070313,0.48828125,-0.9765625,101421,,
50:12.5,0,,0.045898438,-0.005859375,1.001953125,0.549316406,0.366210938,-0.9765625,101421,,
50:12.6,0,,0.033203125,-0.018554688,0.96484375,-0.671386719,0.427246094,-1.403808594,101421,,
50:12.8,0,,0.065429688,-0.006835938,1.000976563,-0.061035156,0.793457031,-1.220703125,101421,,
50:12.9,0,,0.047851563,-0.008789063,0.987304688,-4.089355469,0.48828125,-0.9765625,101421,,
50:13.1,0,,0.059570313,-0.010742188,0.995117188,-1.831054688,0.549316406,-1.403808594,101421,,
50:13.2,0,,0.046875,-0.010742188,0.998046875,-1.037597656,0.793457031,-1.281738281,101421,,
50:13.3,0,,0.052734375,-0.008789063,0.983398438,-2.685546875,1.098632813,-1.281738281,101421,,
50:13.4,0,,0.047851563,-0.014648438,1.00390625,-2.075195313,1.037597656,-1.46484375,101421,,
50:13.6,0,,0.052734375,-0.006835938,0.9921875,-0.854492188,0.48828125,-1.342773438,101421,,
50:13.8,0,,0.05078125,-0.005859375,0.990234375,-0.427246094,0.549316406,-1.525878906,101421,,
50:13.9,0,,0.045898438,-0.014648438,0.995117188,-1.647949219,0.183105469,-1.098632813,101421,,
50:14.1,0,,0.040039063,-0.010742188,0.990234375,-2.807617188,0.732421875,-1.403808594,101421,,
50:14.2,0,,0.043945313,-0.018554688,0.982421875,-2.014160156,0.671386719,-0.610351563,101421,,
50:14.4,0,,0.043945313,-0.005859375,0.986328125,-1.953125,1.281738281,-1.220703125,101421,,
50:14.5,0,,0.048828125,-0.010742188,0.999023438,-1.281738281,0.9765625,-1.159667969,101421,,
50:14.7,0,,0.044921875,-0.015625,0.987304688,-2.197265625,0.183105469,-0.9765625,101421,,
50:14.8,0,,0.046875,-0.009765625,0.983398438,-1.953125,0.9765625,-1.220703125,101421,,
50:14.9,0,,0.043945313,-0.009765625,0.979492188,-2.075195313,0.9765625,-1.342773438,101421,,
50:15.0,0,,0.045898438,-0.008789063,0.991210938,-1.098632813,0.915527344,-1.037597656,101421,,
50:15.1,0,,0.052734375,-0.013671875,1.0078125,-0.610351563,0.671386719,-1.098632813,101421,,
50:15.2,0,,0.053710938,-0.0078125,0.998046875,-0.9765625,0.48828125,-1.647949219,101421,,
50:15.4,0,,0.049804688,-0.006835938,0.979492188,0.061035156,1.159667969,-0.732421875,101421,,
50:15.5,0,,0.0546875,-0.0078125,0.997070313,-1.586914063,0.793457031,-1.098632813,101421,,
50:15.6,0,,0.05078125,-0.0078125,1.0078125,-1.770019531,0.732421875,-1.525878906,101421,,
50:15.8,0,,0.043945313,-0.015625,0.997070313,-2.197265625,0.427246094,-1.281738281,101421,,
50:15.9,0,,0.045898438,-0.012695313,0.9921875,-1.953125,0.854492188,-1.586914063,101421,,
50:16.0,0,,0.05078125,-0.010742188,0.994140625,-3.845214844,0.854492188,-1.342773438,101421,,
50:16.2,0,,0.048828125,-0.0078125,0.993164063,-1.46484375,0.915527344,-1.892089844,101421,,
50:16.4,0,,0.057617188,-0.013671875,1.016601563,-0.671386719,0.549316406,-0.732421875,101421,,
50:16.5,0,,0.052734375,-0.015625,0.993164063,-2.44140625,0.549316406,-0.793457031,101421,,
